strada,grad de aglomeratie,ore de varf,nr case,lungimea strazi in km,grad mediu de umplere a gunoaielor,nr masini care trec estimativ
Strada Alba Iulia,31,8,12,2,30%,50
Strada Bihorului,37,9,11,3,45%,100
Strada Ioan Ratiu,6.25,10,15,4,20%,10
Strada Caprioarelor,20,11,20,3,10%,40
Strada Cerbului,10.67,12,9,6,50%,55
Strada Lunga,38.5,13,7,2,70%,70
Strada Calea Dumbravii,22,8,17,5,40%,80
Strada Turnului,15,9,10,4,25%,30
Strada Gusteritei,28,10,22,3.5,60%,65
Strada Nicolae Iorga,18,11,14,2.5,15%,45
Strada Emil Cioran,33,12,18,4.5,55%,90
Strada Mihai Viteazu,25,13,12,3,35%,60
Strada Cetatii,29,8,16,2.7,55%,60
Strada Mitropoliei,24,9,19,3.8,35%,75
Strada Vasile Aaron,17,10,13,4.2,20%,35
Strada Mihai Eminescu,30,11,21,2.3,50%,85
Strada Gheorghe Lazar,23,12,8,5.1,65%,55
Strada Iosif Nanu,35,13,11,3.5,40%,95
Strada Lector,27,8,14,4,30%,70
Strada Andrei Saguna,19,9,23,2.8,10%,40
Strada Avram Iancu,32,10,10,4.5,60%,50
Strada George Cosbuc,26,11,18,3.3,45%,80
Strada Oltului,21,12,15,2.6,25%,65
Strada Constantin Noica,34,13,9,4,50%,30
Strada Eugen Ionescu,16,8,20,3.6,70%,45
Strada Lucian Blaga,39,9,12,2.2,15%,25
Strada Nicolae Labis,36,10,17,3.9,80%,90
